,Name,loss_train_per_batch,acc_train,loss_test_per_batch,acc_test,run_time_sec
0,Vanilla,0.05466498964693772,0.9830533333333333,0.056324360189384005,0.98148,62.17307586669922
1,Standardizing_all_d_normalization_propagration_group_norm_inside_SGD,0.04465583225531972,0.98569,0.05003379619573569,0.9839399999999999,54.38648648262024
0,Standardizing_all_d_normalization_propagration_group_norm__SGD,0.0506839986733679,0.9838933333333332,0.0541119326490339,0.98268,57.85416774749756
1,Standardizing_all_d_group_norm_SGD,0.0510773543631836,0.98377,0.0522462413411967,0.98284,51.256519651412965
0,LARS,0.4979778110822127,0.8499166666666668,0.4781828324316414,0.8558199999999999,57.38085074424744
1,gradient_centralization,0.2261347302471968,0.9295533333333332,0.2102260931329742,0.93408,51.03373670578003
2,no_normalization,0.0525861538974429,0.98362,0.0526974731050787,0.9826,52.57639389038086
3,batch_norm,0.0514088213359609,0.9840033333333336,0.0517117472437424,0.98314,53.69402894973755
4,batch_norm_all_d,0.0519251661750722,0.9837233333333334,0.0522590667483912,0.98306,51.66935305595398
5,group_norm,0.0507970947172812,0.9840733333333332,0.0505291903348473,0.98406,51.25900549888611
6,batch_whitening,0.1728829829790778,0.94467,0.1583615013949905,0.9494,60.83765840530396
7,normalization_propagration,0.0357598364494789,0.9890366666666666,0.0403522979203021,0.9869,51.8610827922821
8,centered_weight_normalization,0.0528109919707,0.98325,0.053268636358534,0.98268,52.13788022994995
9,orthogonal_weight_normalization,0.0481430126139635,0.9850633333333334,0.0510709354437807,0.9834599999999998,49.12983007431031
1,Centering_1d,0.0568489733611547,0.9821133333333334,0.0574788850518596,0.98132,54.79476070404053
2,Centering_all_d,0.0617651470364687,0.98068,0.0606330853237349,0.97976,53.93565964698792
3,Scaling_1d,0.0543255955589486,0.9828533333333336,0.0579690171682993,0.98072,62.025314521789554
4,Scaling_all_d,0.0541880317827138,0.9828433333333332,0.057340085489533,0.9811600000000004,54.87323122024536
5,Standardizing_1d,0.0471228222662795,0.98505,0.0533528025373282,0.98216,74.21300401687623
6,Standardizing_all_d,0.0460159208192907,0.9856466666666666,0.0479944995267815,0.98396,53.91677498817444
7,ZCA_Whitening,0.0513949955568593,0.9839133333333334,0.0597860001674171,0.98064,75.25384516716004
